Census Tract,State,FIPS Code,Formatted FIPS,"Affordable market share, as of 2018."
17031071600,IL,17031071600,17031071600,0
17031071700,IL,17031071700,17031071700,0
17031071800,IL,17031071800,17031071800,8.23
17031080100,IL,17031080100,17031080100,0
17031080201,IL,17031080201,17031080201,7.11
17031080202,IL,17031080202,17031080202,9.18
17031080300,IL,17031080300,17031080300,5.81
17031080400,IL,17031080400,17031080400,273.47
17031081000,IL,17031081000,17031081000,84.26
17031081100,IL,17031081100,17031081100,27.66
17031081201,IL,17031081201,17031081201,0
17031081202,IL,17031081202,17031081202,0
17031081300,IL,17031081300,17031081300,0
17031081401,IL,17031081401,17031081401,26.14
17031081402,IL,17031081402,17031081402,48.86
17031081403,IL,17031081403,17031081403,0
17031081500,IL,17031081500,17031081500,0
17031081600,IL,17031081600,17031081600,0
17031081700,IL,17031081700,17031081700,3.99
17031081800,IL,17031081800,17031081800,0
17031081900,IL,17031081900,17031081900,256.89
17031090100,IL,17031090100,17031090100,0
17031090200,IL,17031090200,17031090200,0
17031090300,IL,17031090300,17031090300,0
17031100100,IL,17031100100,17031100100,4.45
17031100200,IL,17031100200,17031100200,0
17031100300,IL,17031100300,17031100300,20.2
17031100400,IL,17031100400,17031100400,0
17031100500,IL,17031100500,17031100500,0
17031100600,IL,17031100600,17031100600,0
17031100700,IL,17031100700,17031100700,0
17031110100,IL,17031110100,17031110100,0
17031110200,IL,17031110200,17031110200,0
17031110300,IL,17031110300,17031110300,0
17031110400,IL,17031110400,17031110400,0
17031110501,IL,17031110501,17031110501,0
17031110502,IL,17031110502,17031110502,0
17031120100,IL,17031120100,17031120100,0
17031120200,IL,17031120200,17031120200,0
17031120300,IL,17031120300,17031120300,0
17031120400,IL,17031120400,17031120400,0
17031130100,IL,17031130100,17031130100,102.67
17031130200,IL,17031130200,17031130200,0
17031130300,IL,17031130300,17031130300,0
17031140100,IL,17031140100,17031140100,0
17031140200,IL,17031140200,17031140200,15.41
17031140301,IL,17031140301,17031140301,0
17031140302,IL,17031140302,17031140302,0
17031140400,IL,17031140400,17031140400,10.84
17031140500,IL,17031140500,17031140500,0
17031140601,IL,17031140601,17031140601,23.51
17031140602,IL,17031140602,17031140602,29.41
17031140701,IL,17031140701,17031140701,0.14
17031140702,IL,17031140702,17031140702,6.77
17031140800,IL,17031140800,17031140800,0
17031150200,IL,17031150200,17031150200,0
17031150300,IL,17031150300,17031150300,0
17031150401,IL,17031150401,17031150401,0
17031150402,IL,17031150402,17031150402,0
17031150501,IL,17031150501,17031150501,0
17031150502,IL,17031150502,17031150502,0
17031150600,IL,17031150600,17031150600,0
17031150700,IL,17031150700,17031150700,0
17031150800,IL,17031150800,17031150800,0
17031151001,IL,17031151001,17031151001,0
17031151002,IL,17031151002,17031151002,0
17031151100,IL,17031151100,17031151100,0
17031151200,IL,17031151200,17031151200,0
17031160100,IL,17031160100,17031160100,0
17031160200,IL,17031160200,17031160200,0
17031160300,IL,17031160300,17031160300,0
17031160400,IL,17031160400,17031160400,0
17031160501,IL,17031160501,17031160501,4
17031160502,IL,17031160502,17031160502,0
17031160601,IL,17031160601,17031160601,0
17031160602,IL,17031160602,17031160602,0
17031160700,IL,17031160700,17031160700,23.92
17031160800,IL,17031160800,17031160800,0
17031160900,IL,17031160900,17031160900,0
17031161000,IL,17031161000,17031161000,0
17031161100,IL,17031161100,17031161100,0
17031161200,IL,17031161200,17031161200,0
17031161300,IL,17031161300,17031161300,0
17031170100,IL,17031170100,17031170100,26.88
17031170200,IL,17031170200,17031170200,0.73
17031170300,IL,17031170300,17031170300,0
17031170400,IL,17031170400,17031170400,0
17031170500,IL,17031170500,17031170500,0
17031170600,IL,17031170600,17031170600,0
17031170700,IL,17031170700,17031170700,0
17031170800,IL,17031170800,17031170800,0
17031170900,IL,17031170900,17031170900,0
17031171000,IL,17031171000,17031171000,0
17031171100,IL,17031171100,17031171100,0
17031180100,IL,17031180100,17031180100,0
17031190100,IL,17031190100,17031190100,20.26
17031190200,IL,17031190200,17031190200,0
17031190300,IL,17031190300,17031190300,0
17031190401,IL,17031190401,17031190401,0
17031190402,IL,17031190402,17031190402,0
17031190601,IL,17031190601,17031190601,0.32
17031190602,IL,17031190602,17031190602,0.2
17031190701,IL,17031190701,17031190701,0.2
17031190702,IL,17031190702,17031190702,0.22
17031190800,IL,17031190800,17031190800,0.08
17031190900,IL,17031190900,17031190900,24.64
17031191000,IL,17031191000,17031191000,0
17031191100,IL,17031191100,17031191100,0.77
17031191200,IL,17031191200,17031191200,0.65
17031191301,IL,17031191301,17031191301,10.97
17031191302,IL,17031191302,17031191302,0.39
17031200100,IL,17031200100,17031200100,0
17031200200,IL,17031200200,17031200200,0
17031200300,IL,17031200300,17031200300,0
17031200401,IL,17031200401,17031200401,0
17031200402,IL,17031200402,17031200402,1.08
17031210100,IL,17031210100,17031210100,0
17031210400,IL,17031210400,17031210400,0
17031210501,IL,17031210501,17031210501,6.56
17031210502,IL,17031210502,17031210502,0
17031210601,IL,17031210601,17031210601,0
17031210602,IL,17031210602,17031210602,57.23
17031210700,IL,17031210700,17031210700,0
17031210800,IL,17031210800,17031210800,0
17031210900,IL,17031210900,17031210900,0
17031220300,IL,17031220300,17031220300,1.65
17031220400,IL,17031220400,17031220400,5.89
17031220500,IL,17031220500,17031220500,4.12
17031220601,IL,17031220601,17031220601,0
17031220602,IL,17031220602,17031220602,23.93
17031220701,IL,17031220701,17031220701,0.56
17031220702,IL,17031220702,17031220702,0
17031220901,IL,17031220901,17031220901,31.75
17031220902,IL,17031220902,17031220902,0
17031221000,IL,17031221000,17031221000,15.28
17031221100,IL,17031221100,17031221100,51.42
17031221200,IL,17031221200,17031221200,32.02
17031221300,IL,17031221300,17031221300,0
17031221400,IL,17031221400,17031221400,0
17031221500,IL,17031221500,17031221500,159.92
17031221600,IL,17031221600,17031221600,0
17031222200,IL,17031222200,17031222200,7.33
17031222500,IL,17031222500,17031222500,12.04
17031222600,IL,17031222600,17031222600,32.87
17031222700,IL,17031222700,17031222700,30.51
17031222800,IL,17031222800,17031222800,53.87
17031222900,IL,17031222900,17031222900,13.95
17031230100,IL,17031230100,17031230100,73.76
17031230200,IL,17031230200,17031230200,0.79
17031230300,IL,17031230300,17031230300,35.44
17031230400,IL,17031230400,17031230400,6.91
17031230500,IL,17031230500,17031230500,61.51
17031230600,IL,17031230600,17031230600,7.64
17031230700,IL,17031230700,17031230700,0.22
17031230800,IL,17031230800,17031230800,10.39
17031230900,IL,17031230900,17031230900,4.26
17031231100,IL,17031231100,17031231100,0
17031231200,IL,17031231200,17031231200,0.86
17031231500,IL,17031231500,17031231500,18.87
17031240200,IL,17031240200,17031240200,105.79
17031240300,IL,17031240300,17031240300,0
17031240500,IL,17031240500,17031240500,0
17031240600,IL,17031240600,17031240600,33.22
17031240700,IL,17031240700,17031240700,82.58
17031240800,IL,17031240800,17031240800,7.6
17031240900,IL,17031240900,17031240900,42.44
17031241000,IL,17031241000,17031241000,33.33
17031241100,IL,17031241100,17031241100,0.26
17031241200,IL,17031241200,17031241200,40.82
17031241300,IL,17031241300,17031241300,0
17031241400,IL,17031241400,17031241400,53.8
17031241500,IL,17031241500,17031241500,0
17031241600,IL,17031241600,17031241600,0
17031242000,IL,17031242000,17031242000,24.04
17031242100,IL,17031242100,17031242100,0
17031242200,IL,17031242200,17031242200,14.88
17031242300,IL,17031242300,17031242300,0
17031242400,IL,17031242400,17031242400,0
17031242500,IL,17031242500,17031242500,5.09
17031242600,IL,17031242600,17031242600,39.84
17031242700,IL,17031242700,17031242700,16.19
17031242800,IL,17031242800,17031242800,0
