"Census Tract","State","FIPS Code","Formatted FIPS","Opportunity Area Status, 2018."
"17031031800","IL","17031031800","=""17031031800""","Not an Opportunity Area"
"17031031900","IL","17031031900","=""17031031900""","Not an Opportunity Area"
"17031032100","IL","17031032100","=""17031032100""","Not an Opportunity Area"
"17031040100","IL","17031040100","=""17031040100""","Not an Opportunity Area"
"17031040201","IL","17031040201","=""17031040201""","Not an Opportunity Area"
"17031040202","IL","17031040202","=""17031040202""","2016 Opportunity Area"
"17031040300","IL","17031040300","=""17031040300""","2017 Opportunity Area"
"17031040401","IL","17031040401","=""17031040401""","Not an Opportunity Area"
"17031040402","IL","17031040402","=""17031040402""","Not an Opportunity Area"
"17031040600","IL","17031040600","=""17031040600""","2016 Opportunity Area"
"17031040700","IL","17031040700","=""17031040700""","Not an Opportunity Area"
"17031040800","IL","17031040800","=""17031040800""","2016 Opportunity Area"
"17031040900","IL","17031040900","=""17031040900""","2016 Opportunity Area"
"17031050100","IL","17031050100","=""17031050100""","2015 Opportunity Area"
"17031050200","IL","17031050200","=""17031050200""","Not an Opportunity Area"
"17031050300","IL","17031050300","=""17031050300""","2017 Opportunity Area"
"17031050500","IL","17031050500","=""17031050500""","2017 Opportunity Area"
"17031050600","IL","17031050600","=""17031050600""","2018 Opportunity Area"
"17031050700","IL","17031050700","=""17031050700""","2017 Opportunity Area"
"17031050800","IL","17031050800","=""17031050800""","Not an Opportunity Area"
"17031050900","IL","17031050900","=""17031050900""","Not an Opportunity Area"
"17031051000","IL","17031051000","=""17031051000""","2016 Opportunity Area"
"17031051100","IL","17031051100","=""17031051100""","2016 Opportunity Area"
"17031051200","IL","17031051200","=""17031051200""","2016 Opportunity Area"
"17031051300","IL","17031051300","=""17031051300""","2017 Opportunity Area"
"17031051400","IL","17031051400","=""17031051400""","2017 Opportunity Area"
"17031060100","IL","17031060100","=""17031060100""","Not an Opportunity Area"
"17031060200","IL","17031060200","=""17031060200""","Not an Opportunity Area"
"17031060300","IL","17031060300","=""17031060300""","Not an Opportunity Area"
"17031060400","IL","17031060400","=""17031060400""","Not an Opportunity Area"
"17031060500","IL","17031060500","=""17031060500""","Not an Opportunity Area"
"17031060800","IL","17031060800","=""17031060800""","2017 Opportunity Area"
"17031060900","IL","17031060900","=""17031060900""","Not an Opportunity Area"
"17031061000","IL","17031061000","=""17031061000""","2016 Opportunity Area"
"17031061100","IL","17031061100","=""17031061100""","2018 Opportunity Area"
"17031061200","IL","17031061200","=""17031061200""","Not an Opportunity Area"
"17031061500","IL","17031061500","=""17031061500""","2016 Opportunity Area"
"17031061800","IL","17031061800","=""17031061800""","Not an Opportunity Area"
"17031061901","IL","17031061901","=""17031061901""","Not an Opportunity Area"
"17031061902","IL","17031061902","=""17031061902""","2017 Opportunity Area"
"17031062000","IL","17031062000","=""17031062000""","Not an Opportunity Area"
"17031062100","IL","17031062100","=""17031062100""","2016 Opportunity Area"
"17031062200","IL","17031062200","=""17031062200""","2016 Opportunity Area"
"17031062300","IL","17031062300","=""17031062300""","2016 Opportunity Area"
"17031062400","IL","17031062400","=""17031062400""","2016 Opportunity Area"
"17031062500","IL","17031062500","=""17031062500""","2018 Opportunity Area"
"17031062600","IL","17031062600","=""17031062600""","2017 Opportunity Area"
"17031062700","IL","17031062700","=""17031062700""","2016 Opportunity Area"
"17031062800","IL","17031062800","=""17031062800""","Not an Opportunity Area"
"17031062900","IL","17031062900","=""17031062900""","2016 Opportunity Area"
"17031063000","IL","17031063000","=""17031063000""","2018 Opportunity Area"
"17031063100","IL","17031063100","=""17031063100""","2018 Opportunity Area"
"17031063200","IL","17031063200","=""17031063200""","2016 Opportunity Area"
"17031063301","IL","17031063301","=""17031063301""","Not an Opportunity Area"
"17031063302","IL","17031063302","=""17031063302""","Not an Opportunity Area"
"17031063303","IL","17031063303","=""17031063303""","2017 Opportunity Area"
"17031063400","IL","17031063400","=""17031063400""","2018 Opportunity Area"
"17031070101","IL","17031070101","=""17031070101""","2017 Opportunity Area"
"17031070102","IL","17031070102","=""17031070102""","2015 Opportunity Area"
"17031070103","IL","17031070103","=""17031070103""","2017 Opportunity Area"
"17031070200","IL","17031070200","=""17031070200""","2018 Opportunity Area"
"17031070300","IL","17031070300","=""17031070300""","2018 Opportunity Area"
"17031070400","IL","17031070400","=""17031070400""","2016 Opportunity Area"
"17031070500","IL","17031070500","=""17031070500""","2018 Opportunity Area"
"17031070600","IL","17031070600","=""17031070600""","2017 Opportunity Area"
"17031070700","IL","17031070700","=""17031070700""","Not an Opportunity Area"
"17031071000","IL","17031071000","=""17031071000""","Not an Opportunity Area"
"17031071100","IL","17031071100","=""17031071100""","2018 Opportunity Area"
"17031071200","IL","17031071200","=""17031071200""","2016 Opportunity Area"
"17031071300","IL","17031071300","=""17031071300""","2017 Opportunity Area"
"17031071400","IL","17031071400","=""17031071400""","2016 Opportunity Area"
"17031071500","IL","17031071500","=""17031071500""","2016 Opportunity Area"
"17031071600","IL","17031071600","=""17031071600""","2016 Opportunity Area"
"17031071700","IL","17031071700","=""17031071700""","2016 Opportunity Area"
"17031071800","IL","17031071800","=""17031071800""","2017 Opportunity Area"
"17031080100","IL","17031080100","=""17031080100""","2016 Opportunity Area"
"17031080201","IL","17031080201","=""17031080201""","2017 Opportunity Area"
"17031080202","IL","17031080202","=""17031080202""","2016 Opportunity Area"
"17031080300","IL","17031080300","=""17031080300""","2018 Opportunity Area"
"17031080400","IL","17031080400","=""17031080400""","Not an Opportunity Area"
"17031081000","IL","17031081000","=""17031081000""","Not an Opportunity Area"
"17031081100","IL","17031081100","=""17031081100""","2016 Opportunity Area"
"17031081201","IL","17031081201","=""17031081201""","2018 Opportunity Area"
"17031081202","IL","17031081202","=""17031081202""","2018 Opportunity Area"
"17031081300","IL","17031081300","=""17031081300""","2018 Opportunity Area"
"17031081401","IL","17031081401","=""17031081401""","Not an Opportunity Area"
"17031081402","IL","17031081402","=""17031081402""","2016 Opportunity Area"
"17031081403","IL","17031081403","=""17031081403""","2018 Opportunity Area"
"17031081500","IL","17031081500","=""17031081500""","2018 Opportunity Area"
"17031081600","IL","17031081600","=""17031081600""","2018 Opportunity Area"
"17031081700","IL","17031081700","=""17031081700""","2018 Opportunity Area"
"17031081800","IL","17031081800","=""17031081800""","2018 Opportunity Area"
"17031081900","IL","17031081900","=""17031081900""","Not an Opportunity Area"
"17031090100","IL","17031090100","=""17031090100""","2017 Opportunity Area"
"17031090200","IL","17031090200","=""17031090200""","2017 Opportunity Area"
"17031090300","IL","17031090300","=""17031090300""","2018 Opportunity Area"
"17031100100","IL","17031100100","=""17031100100""","2017 Opportunity Area"
"17031100200","IL","17031100200","=""17031100200""","2017 Opportunity Area"
"17031100300","IL","17031100300","=""17031100300""","2016 Opportunity Area"
"17031100400","IL","17031100400","=""17031100400""","2018 Opportunity Area"
"17031100500","IL","17031100500","=""17031100500""","2017 Opportunity Area"
"17031100600","IL","17031100600","=""17031100600""","2017 Opportunity Area"
"17031100700","IL","17031100700","=""17031100700""","2017 Opportunity Area"
"17031110100","IL","17031110100","=""17031110100""","2017 Opportunity Area"
"17031110200","IL","17031110200","=""17031110200""","2017 Opportunity Area"
"17031110300","IL","17031110300","=""17031110300""","2017 Opportunity Area"
"17031110400","IL","17031110400","=""17031110400""","2017 Opportunity Area"
"17031110501","IL","17031110501","=""17031110501""","2016 Opportunity Area"
"17031110502","IL","17031110502","=""17031110502""","Not an Opportunity Area"
"17031120100","IL","17031120100","=""17031120100""","2017 Opportunity Area"
"17031120200","IL","17031120200","=""17031120200""","2017 Opportunity Area"
"17031120300","IL","17031120300","=""17031120300""","2017 Opportunity Area"
"17031120400","IL","17031120400","=""17031120400""","2016 Opportunity Area"
"17031130100","IL","17031130100","=""17031130100""","Not an Opportunity Area"
"17031130200","IL","17031130200","=""17031130200""","2018 Opportunity Area"
"17031130300","IL","17031130300","=""17031130300""","Not an Opportunity Area"
"17031140100","IL","17031140100","=""17031140100""","Not an Opportunity Area"
"17031140200","IL","17031140200","=""17031140200""","Not an Opportunity Area"
"17031140301","IL","17031140301","=""17031140301""","Not an Opportunity Area"
"17031140302","IL","17031140302","=""17031140302""","Not an Opportunity Area"
"17031140400","IL","17031140400","=""17031140400""","Not an Opportunity Area"
"17031140500","IL","17031140500","=""17031140500""","Not an Opportunity Area"
"17031140601","IL","17031140601","=""17031140601""","Not an Opportunity Area"
"17031140602","IL","17031140602","=""17031140602""","Not an Opportunity Area"
"17031140701","IL","17031140701","=""17031140701""","Not an Opportunity Area"
"17031140702","IL","17031140702","=""17031140702""","Not an Opportunity Area"
"17031140800","IL","17031140800","=""17031140800""","Not an Opportunity Area"
"17031150200","IL","17031150200","=""17031150200""","Not an Opportunity Area"
"17031150300","IL","17031150300","=""17031150300""","2016 Opportunity Area"
"17031150401","IL","17031150401","=""17031150401""","Not an Opportunity Area"
"17031150402","IL","17031150402","=""17031150402""","2017 Opportunity Area"
"17031150501","IL","17031150501","=""17031150501""","2017 Opportunity Area"
"17031150502","IL","17031150502","=""17031150502""","Not an Opportunity Area"
"17031150600","IL","17031150600","=""17031150600""","Not an Opportunity Area"
"17031150700","IL","17031150700","=""17031150700""","Not an Opportunity Area"
"17031150800","IL","17031150800","=""17031150800""","2016 Opportunity Area"
"17031151001","IL","17031151001","=""17031151001""","Not an Opportunity Area"
"17031151002","IL","17031151002","=""17031151002""","Not an Opportunity Area"
"17031151100","IL","17031151100","=""17031151100""","Not an Opportunity Area"
"17031151200","IL","17031151200","=""17031151200""","2017 Opportunity Area"
"17031160100","IL","17031160100","=""17031160100""","2017 Opportunity Area"
"17031160200","IL","17031160200","=""17031160200""","2018 Opportunity Area"
"17031160300","IL","17031160300","=""17031160300""","Not an Opportunity Area"
"17031160400","IL","17031160400","=""17031160400""","Not an Opportunity Area"
"17031160501","IL","17031160501","=""17031160501""","Not an Opportunity Area"
"17031160502","IL","17031160502","=""17031160502""","Not an Opportunity Area"
"17031160601","IL","17031160601","=""17031160601""","Not an Opportunity Area"
"17031160602","IL","17031160602","=""17031160602""","2017 Opportunity Area"
"17031160700","IL","17031160700","=""17031160700""","2017 Opportunity Area"
"17031160800","IL","17031160800","=""17031160800""","Not an Opportunity Area"
"17031160900","IL","17031160900","=""17031160900""","Not an Opportunity Area"
"17031161000","IL","17031161000","=""17031161000""","2016 Opportunity Area"
"17031161100","IL","17031161100","=""17031161100""","2015 Opportunity Area"
"17031161200","IL","17031161200","=""17031161200""","Not an Opportunity Area"
"17031161300","IL","17031161300","=""17031161300""","Not an Opportunity Area"
"17031170100","IL","17031170100","=""17031170100""","Not an Opportunity Area"
"17031170200","IL","17031170200","=""17031170200""","2016 Opportunity Area"
"17031170300","IL","17031170300","=""17031170300""","Not an Opportunity Area"
"17031170400","IL","17031170400","=""17031170400""","Not an Opportunity Area"
"17031170500","IL","17031170500","=""17031170500""","2017 Opportunity Area"
"17031170600","IL","17031170600","=""17031170600""","Not an Opportunity Area"
"17031170700","IL","17031170700","=""17031170700""","Not an Opportunity Area"
"17031170800","IL","17031170800","=""17031170800""","Not an Opportunity Area"
"17031170900","IL","17031170900","=""17031170900""","Not an Opportunity Area"
"17031171000","IL","17031171000","=""17031171000""","Not an Opportunity Area"
"17031171100","IL","17031171100","=""17031171100""","Not an Opportunity Area"
"17031180100","IL","17031180100","=""17031180100""","Not an Opportunity Area"
"17031190100","IL","17031190100","=""17031190100""","Not an Opportunity Area"
"17031190200","IL","17031190200","=""17031190200""","Not an Opportunity Area"
"17031190300","IL","17031190300","=""17031190300""","Not an Opportunity Area"
"17031190401","IL","17031190401","=""17031190401""","Not an Opportunity Area"
"17031190402","IL","17031190402","=""17031190402""","Not an Opportunity Area"
"17031190601","IL","17031190601","=""17031190601""","Not an Opportunity Area"
"17031190602","IL","17031190602","=""17031190602""","Not an Opportunity Area"
"17031190701","IL","17031190701","=""17031190701""","2016 Opportunity Area"
"17031190702","IL","17031190702","=""17031190702""","Not an Opportunity Area"
"17031190800","IL","17031190800","=""17031190800""","Not an Opportunity Area"
"17031190900","IL","17031190900","=""17031190900""","Not an Opportunity Area"
"17031191000","IL","17031191000","=""17031191000""","Not an Opportunity Area"
"17031191100","IL","17031191100","=""17031191100""","Not an Opportunity Area"
"17031191200","IL","17031191200","=""17031191200""","Not an Opportunity Area"
"17031191301","IL","17031191301","=""17031191301""","Not an Opportunity Area"
"17031191302","IL","17031191302","=""17031191302""","Not an Opportunity Area"
"17031200100","IL","17031200100","=""17031200100""","Not an Opportunity Area"
"17031200200","IL","17031200200","=""17031200200""","Not an Opportunity Area"
"17031200300","IL","17031200300","=""17031200300""","Not an Opportunity Area"
"17031200401","IL","17031200401","=""17031200401""","Not an Opportunity Area"
"17031200402","IL","17031200402","=""17031200402""","Not an Opportunity Area"
"17031210100","IL","17031210100","=""17031210100""","2017 Opportunity Area"
"17031210400","IL","17031210400","=""17031210400""","Not an Opportunity Area"
"17031210501","IL","17031210501","=""17031210501""","Not an Opportunity Area"
"17031210502","IL","17031210502","=""17031210502""","Not an Opportunity Area"
"17031210601","IL","17031210601","=""17031210601""","2015 Opportunity Area"
"17031210602","IL","17031210602","=""17031210602""","2016 Opportunity Area"
"17031210700","IL","17031210700","=""17031210700""","2017 Opportunity Area"
"17031210800","IL","17031210800","=""17031210800""","2017 Opportunity Area"
"17031210900","IL","17031210900","=""17031210900""","2017 Opportunity Area"
"17031220300","IL","17031220300","=""17031220300""","2017 Opportunity Area"
"17031220400","IL","17031220400","=""17031220400""","2016 Opportunity Area"
"17031220500","IL","17031220500","=""17031220500""","2017 Opportunity Area"
"17031220601","IL","17031220601","=""17031220601""","2017 Opportunity Area"
"17031220602","IL","17031220602","=""17031220602""","Not an Opportunity Area"
"17031220701","IL","17031220701","=""17031220701""","Not an Opportunity Area"
"17031220702","IL","17031220702","=""17031220702""","Not an Opportunity Area"
"17031220901","IL","17031220901","=""17031220901""","Not an Opportunity Area"
"17031220902","IL","17031220902","=""17031220902""","Not an Opportunity Area"
"17031221000","IL","17031221000","=""17031221000""","Not an Opportunity Area"
"17031221100","IL","17031221100","=""17031221100""","Not an Opportunity Area"
"17031221200","IL","17031221200","=""17031221200""","2016 Opportunity Area"
"17031221300","IL","17031221300","=""17031221300""","2016 Opportunity Area"
"17031221400","IL","17031221400","=""17031221400""","2016 Opportunity Area"
"17031221500","IL","17031221500","=""17031221500""","2016 Opportunity Area"
"17031221600","IL","17031221600","=""17031221600""","2016 Opportunity Area"
"17031222200","IL","17031222200","=""17031222200""","2017 Opportunity Area"
"17031222500","IL","17031222500","=""17031222500""","2016 Opportunity Area"
"17031222600","IL","17031222600","=""17031222600""","2016 Opportunity Area"
"17031222700","IL","17031222700","=""17031222700""","Not an Opportunity Area"
"17031222800","IL","17031222800","=""17031222800""","Not an Opportunity Area"
"17031222900","IL","17031222900","=""17031222900""","Not an Opportunity Area"
"17031230100","IL","17031230100","=""17031230100""","Not an Opportunity Area"
"17031230200","IL","17031230200","=""17031230200""","2016 Opportunity Area"
"17031230300","IL","17031230300","=""17031230300""","Not an Opportunity Area"
"17031230400","IL","17031230400","=""17031230400""","Not an Opportunity Area"
"17031230500","IL","17031230500","=""17031230500""","Not an Opportunity Area"
"17031230600","IL","17031230600","=""17031230600""","Not an Opportunity Area"
"17031230700","IL","17031230700","=""17031230700""","Not an Opportunity Area"
"17031230800","IL","17031230800","=""17031230800""","2016 Opportunity Area"
"17031230900","IL","17031230900","=""17031230900""","Not an Opportunity Area"
"17031231100","IL","17031231100","=""17031231100""","Not an Opportunity Area"
"17031231200","IL","17031231200","=""17031231200""","Not an Opportunity Area"
"17031231500","IL","17031231500","=""17031231500""","Not an Opportunity Area"
"17031240200","IL","17031240200","=""17031240200""","2016 Opportunity Area"
"17031240300","IL","17031240300","=""17031240300""","2018 Opportunity Area"
"17031240500","IL","17031240500","=""17031240500""","2016 Opportunity Area"
"17031240600","IL","17031240600","=""17031240600""","Not an Opportunity Area"
"17031240700","IL","17031240700","=""17031240700""","Not an Opportunity Area"
"17031240800","IL","17031240800","=""17031240800""","Not an Opportunity Area"
"17031240900","IL","17031240900","=""17031240900""","2016 Opportunity Area"
"17031241000","IL","17031241000","=""17031241000""","Not an Opportunity Area"
"17031241100","IL","17031241100","=""17031241100""","2016 Opportunity Area"
"17031241200","IL","17031241200","=""17031241200""","2016 Opportunity Area"
"17031241300","IL","17031241300","=""17031241300""","2016 Opportunity Area"
"17031241400","IL","17031241400","=""17031241400""","2016 Opportunity Area"
"17031241500","IL","17031241500","=""17031241500""","2018 Opportunity Area"
