"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Dunfermline","IL","1721098","=""1721098""","N/A"
"Dunlap","IL","1721176","=""1721176""","0.00"
"Dupo","IL","1721254","=""1721254""","0.00"
"Du Quoin","IL","1721267","=""1721267""","32.65"
"Durand","IL","1721280","=""1721280""","54.37"
"Dwight","IL","1721358","=""1721358""","10.50"
"Eagarville","IL","1721410","=""1721410""","N/A"
"Earlville","IL","1721540","=""1721540""","19.77"
"East Alton","IL","1721553","=""1721553""","42.86"
"East Brooklyn","IL","1721579","=""1721579""","N/A"
"East Cape Girardeau","IL","1721605","=""1721605""","N/A"
"East Carondelet","IL","1721618","=""1721618""","N/A"
"East Dubuque","IL","1721683","=""1721683""","14.48"
"East Dundee","IL","1721696","=""1721696""","38.38"
"East Galesburg","IL","1721826","=""1721826""","N/A"
"East Gillespie","IL","1721852","=""1721852""","N/A"
"East Hazel Crest","IL","1721904","=""1721904""","0.00"
"East Moline","IL","1722073","=""1722073""","67.86"
"Easton","IL","1722151","=""1722151""","N/A"
"East Peoria","IL","1722164","=""1722164""","35.58"
"East St. Louis","IL","1722255","=""1722255""","54.42"
"Eddyville","IL","1722398","=""1722398""","N/A"
"Edgewood","IL","1722567","=""1722567""","N/A"
"Edinburg","IL","1722645","=""1722645""","0.00"
"Edwardsville","IL","1722697","=""1722697""","7.30"
"Effingham","IL","1722736","=""1722736""","45.83"
"Elburn","IL","1722931","=""1722931""","17.33"
"El Dara","IL","1722957","=""1722957""","N/A"
"Eldorado","IL","1723009","=""1723009""","5.42"
"Eldred","IL","1723022","=""1723022""","N/A"
"Elgin","IL","1723074","=""1723074""","N/A"
"Elizabeth","IL","1723165","=""1723165""","N/A"
"Elizabethtown","IL","1723191","=""1723191""","N/A"
"Elk Grove Village","IL","1723256","=""1723256""","N/A"
"Elkhart","IL","1723269","=""1723269""","N/A"
"Elkville","IL","1723373","=""1723373""","0.00"
"Elliott","IL","1723425","=""1723425""","N/A"
"Ellis Grove","IL","1723503","=""1723503""","N/A"
