Census Tract,State,FIPS Code,Formatted FIPS,"Mean travel time to work in minutes, according the US Census Bur",,
17029000500,IL,17029000500,17029000500,N/A,,
17029000600,IL,17029000600,17029000600,N/A,,
17029000700,IL,17029000700,17029000700,N/A,,
17029000800,IL,17029000800,17029000800,N/A,,
17029000900,IL,17029000900,17029000900,N/A,,
17029001000,IL,17029001000,17029001000,N/A,,
17029001100,IL,17029001100,17029001100,N/A,,
17029001200,IL,17029001200,17029001200,N/A,,
17031010100,IL,17031010100,17031010100,35.2,,
17031010201,IL,17031010201,17031010201,35.1,,
17031010202,IL,17031010202,17031010202,31,,
17031010300,IL,17031010300,17031010300,42.2,,
17031010400,IL,17031010400,17031010400,35.9,,
17031010501,IL,17031010501,17031010501,36.9,,
17031010502,IL,17031010502,17031010502,35,,
17031010503,IL,17031010503,17031010503,36.9,,
17031010600,IL,17031010600,17031010600,41,,
17031010701,IL,17031010701,17031010701,34.6,,
17031010702,IL,17031010702,17031010702,38,,
17031020100,IL,17031020100,17031020100,32.3,,
17031020200,IL,17031020200,17031020200,32.8,,
17031020301,IL,17031020301,17031020301,31.1,,
17031020302,IL,17031020302,17031020302,34.5,,
17031020400,IL,17031020400,17031020400,34.8,,
17031020500,IL,17031020500,17031020500,30.1,,
17031020601,IL,17031020601,17031020601,26.5,,
17031020602,IL,17031020602,17031020602,32.9,,
17031020701,IL,17031020701,17031020701,34.2,,
17031020702,IL,17031020702,17031020702,29.4,,
17031020801,IL,17031020801,17031020801,36.7,,
17031020802,IL,17031020802,17031020802,32.8,,
17031020901,IL,17031020901,17031020901,35.3,,
17031020902,IL,17031020902,17031020902,37.3,,
17031030101,IL,17031030101,17031030101,37.7,,
17031030102,IL,17031030102,17031030102,36.9,,
17031030103,IL,17031030103,17031030103,35.3,,
17031030104,IL,17031030104,17031030104,33,,
17031030200,IL,17031030200,17031030200,40.4,,
17031030300,IL,17031030300,17031030300,33.7,,
17031030400,IL,17031030400,17031030400,36.7,,
17031030500,IL,17031030500,17031030500,37.7,,
17031030601,IL,17031030601,17031030601,38.2,,
17031030603,IL,17031030603,17031030603,35.4,,
17031030604,IL,17031030604,17031030604,36.8,,
17031030701,IL,17031030701,17031030701,38.1,,
17031030702,IL,17031030702,17031030702,41.8,,
17031030703,IL,17031030703,17031030703,37.5,,
17031030706,IL,17031030706,17031030706,40.7,,
17031030800,IL,17031030800,17031030800,38.4,,
17031030900,IL,17031030900,17031030900,35.1,,
17031031000,IL,17031031000,17031031000,36.7,,
17031031100,IL,17031031100,17031031100,39.1,,
17031031200,IL,17031031200,17031031200,36.6,,
17031031300,IL,17031031300,17031031300,37.9,,
17031031400,IL,17031031400,17031031400,35,,
17031031501,IL,17031031501,17031031501,34.9,,
17031031502,IL,17031031502,17031031502,32.5,,
17031031700,IL,17031031700,17031031700,37.3,,
17031031800,IL,17031031800,17031031800,36.7,,
