"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Stonefort","IL","1772884","=""1772884""","N/A"
"Stone Park","IL","1772923","=""1772923""","26.80"
"Stonington","IL","1772949","=""1772949""","N/A"
"Stoy","IL","1773027","=""1773027""","N/A"
"Strasburg","IL","1773040","=""1773040""","N/A"
"Strawn","IL","1773131","=""1773131""","N/A"
"Streamwood","IL","1773157","=""1773157""","31.70"
"Streator","IL","1773170","=""1773170""","20.30"
"Stronghurst","IL","1773261","=""1773261""","N/A"
"Sublette","IL","1773287","=""1773287""","N/A"
"Sugar Grove","IL","1773391","=""1773391""","30.70"
"Sullivan","IL","1773495","=""1773495""","19.10"
"Summerfield","IL","1773547","=""1773547""","N/A"
"Summit","IL","1773638","=""1773638""","27.50"
"Sumner","IL","1773703","=""1773703""","22.60"
"Sun River Terrace","IL","1773943","=""1773943""","N/A"
"Swansea","IL","1774119","=""1774119""","25.10"
"Sycamore","IL","1774223","=""1774223""","25.00"
"Symerton","IL","1774275","=""1774275""","N/A"
"Table Grove","IL","1774301","=""1774301""","N/A"
"Tallula","IL","1774379","=""1774379""","N/A"
"Tamaroa","IL","1774444","=""1774444""","N/A"
"Tamms","IL","1774457","=""1774457""","N/A"
"Tampico","IL","1774470","=""1774470""","N/A"
"Taylor Springs","IL","1774561","=""1774561""","N/A"
"Taylorville","IL","1774574","=""1774574""","22.20"
"Tennessee","IL","1774665","=""1774665""","N/A"
"Teutopolis","IL","1774743","=""1774743""","15.30"
"Thawville","IL","1774847","=""1774847""","N/A"
"Thayer","IL","1774860","=""1774860""","N/A"
"Thebes","IL","1774873","=""1774873""","N/A"
"The Galena Territory","IL","1774970","=""1774970""","30.00"
"Third Lake","IL","1775081","=""1775081""","34.40"
"Thomasboro","IL","1775107","=""1775107""","21.30"
"Thompsonville","IL","1775159","=""1775159""","N/A"
"Thomson","IL","1775172","=""1775172""","N/A"
"Thornton","IL","1775185","=""1775185""","24.90"
"Tilden","IL","1775263","=""1775263""","N/A"
"Tilton","IL","1775276","=""1775276""","17.40"
"Timberlane","IL","1775360","=""1775360""","32.70"
"Time","IL","1775419","=""1775419""","N/A"
"Tinley Park","IL","1775484","=""1775484""","N/A"
"Tiskilwa","IL","1775549","=""1775549""","N/A"
"Toledo","IL","1775601","=""1775601""","19.90"
"Tolono","IL","1775614","=""1775614""","20.70"
"Toluca","IL","1775653","=""1775653""","27.30"
"Tonica","IL","1775718","=""1775718""","N/A"
"Topeka","IL","1775757","=""1775757""","N/A"
"Toulon","IL","1775783","=""1775783""","23.80"
"Tovey","IL","1775809","=""1775809""","N/A"
"Towanda","IL","1775822","=""1775822""","N/A"
"Tower Hill","IL","1775848","=""1775848""","N/A"
"Tower Lakes","IL","1775874","=""1775874""","44.00"
"Tremont","IL","1775965","=""1775965""","20.70"
"Trenton","IL","1775991","=""1775991""","25.10"
"Trout Valley","IL","1776160","=""1776160""","N/A"
"Troy","IL","1776199","=""1776199""","24.70"
"Troy Grove","IL","1776225","=""1776225""","N/A"
"Tuscola","IL","1776407","=""1776407""","20.10"
"Twin Grove","IL","1776511","=""1776511""","21.50"
"Ullin","IL","1776615","=""1776615""","N/A"
"Union","IL","1776706","=""1776706""","N/A"
"Union Hill","IL","1776771","=""1776771""","N/A"
"University Park","IL","1776935","=""1776935""","40.30"
"Urbana","IL","1777005","=""1777005""","15.40"
"Ursa","IL","1777044","=""1777044""","N/A"
"Valier","IL","1777148","=""1777148""","N/A"
"Valley City","IL","1777187","=""1777187""","N/A"
"Valmeyer","IL","1777265","=""1777265""","33.80"
"Vandalia","IL","1777317","=""1777317""","16.60"
"Varna","IL","1777395","=""1777395""","N/A"
"Venedy","IL","1777408","=""1777408""","N/A"
"Venetian Village","IL","1777460","=""1777460""","N/A"
"Venice","IL","1777473","=""1777473""","25.40"
"Vergennes","IL","1777525","=""1777525""","N/A"
"Vermilion","IL","1777551","=""1777551""","N/A"
"Vermont","IL","1777642","=""1777642""","N/A"
"Vernon","IL","1777681","=""1777681""","N/A"
"Vernon Hills","IL","1777694","=""1777694""","28.20"
"Verona","IL","1777707","=""1777707""","N/A"
"Versailles","IL","1777720","=""1777720""","N/A"
"Victoria","IL","1777811","=""1777811""","N/A"
"Vienna","IL","1777863","=""1777863""","23.10"
"Villa Grove","IL","1777941","=""1777941""","27.70"
"Villa Park","IL","1777993","=""1777993""","26.90"
"Viola","IL","1778123","=""1778123""","N/A"
"Virden","IL","1778149","=""1778149""","27.00"
"Virgil","IL","1778175","=""1778175""","N/A"
"Virginia","IL","1778201","=""1778201""","22.50"
"Volo","IL","1778227","=""1778227""","36.00"
"Wadsworth","IL","1778370","=""1778370""","29.60"
"Waggoner","IL","1778383","=""1778383""","N/A"
"Walnut","IL","1778526","=""1778526""","23.30"
"Walnut Hill","IL","1778604","=""1778604""","N/A"
"Walshville","IL","1778656","=""1778656""","N/A"
"Waltonville","IL","1778708","=""1778708""","N/A"
"Wamac","IL","1778721","=""1778721""","19.30"
"Wapella","IL","1778773","=""1778773""","N/A"
"Warren","IL","1778851","=""1778851""","30.10"
"Warrensburg","IL","1778916","=""1778916""","20.50"
"Warrenville","IL","1778929","=""1778929""","27.10"
"Warsaw","IL","1778942","=""1778942""","22.40"
"Washburn","IL","1779007","=""1779007""","35.40"
"Washington","IL","1779033","=""1779033""","20.20"
"Washington Park","IL","1779085","=""1779085""","23.30"
"Wataga","IL","1779124","=""1779124""","N/A"
"Waterloo","IL","1779150","=""1779150""","29.70"
"Waterman","IL","1779163","=""1779163""","33.30"
"Watseka","IL","1779228","=""1779228""","19.70"
"Watson","IL","1779241","=""1779241""","N/A"
"Wauconda","IL","1779267","=""1779267""","31.60"
"Waukegan","IL","1779293","=""1779293""","N/A"
"Waverly","IL","1779358","=""1779358""","33.20"
"Wayne","IL","1779397","=""1779397""","N/A"
"Wayne City","IL","1779436","=""1779436""","N/A"
"Waynesville","IL","1779449","=""1779449""","N/A"
"Weldon","IL","1779683","=""1779683""","N/A"
"Wellington","IL","1779735","=""1779735""","N/A"
"Wenona","IL","1779813","=""1779813""","22.20"
